ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M100US44140,"Springfield, MA Metro Area",310M100US44140,,2479,,7790,,315,,521,,371,,576,,110,,76,,368,,652,,2851,,15920,,1337,,6886,,3263,,22806,,5545,,46901,,3285,,16034,,5531,,62935,,6515,,86914,,6424,,597331,,841,,692035
310M100US44180,"Springfield, MO Metro Area",310M100US44180,,769,,1443,,1740,,5160,,1042,,2531,,1288,,3599,,1628,,6130,,1750,,8531,,2067,,7353,,2719,,15884,,4412,,26875,,3984,,28507,,6360,,55382,,7153,,82556,,7427,,356166,,2281,,440165
310M100US44220,"Springfield, OH Metro Area",310M100US44220,,195,,226,,470,,661,,265,,220,,194,,259,,360,,479,,1250,,3454,,845,,1311,,1662,,4765,,1313,,3836,,1994,,12535,,2395,,16371,,2713,,22276,,2759,,113242,,519,,135744
310M100US44300,"State College, PA Metro Area",310M100US44300,,948,,1881,,191,,128,,700,,1474,,423,,464,,952,,1938,,2042,,13930,,948,,3611,,2140,,17541,,1480,,5747,,2393,,10124,,3051,,15871,,3364,,35478,,3357,,116494,,370,,153853
310M100US44340,"Statesboro, GA Micro Area",310M100US44340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US44380,"Statesville-Mooresville, NC Micro Area",310M100US44380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US44420,"Staunton-Waynesboro, VA Micro Area",310M100US44420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US44600,"Steubenville-Weirton, OH-WV Metro Area",310M100US44600,,96,,71,,227,,252,,291,,444,,197,,187,,340,,631,,834,,2184,,421,,976,,887,,3160,,1503,,4603,,2056,,5496,,2609,,10099,,2771,,14142,,3428,,107017,,1971,,121230
310M100US44620,"Stevens Point, WI Micro Area",310M100US44620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US44660,"Stillwater, OK Micro Area",310M100US44660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US44700,"Stockton, CA Metro Area",310M100US44700,,1234,,2208,,522,,751,,1089,,1279,,141,,165,,1099,,1444,,3242,,16224,,3728,,14400,,5255,,30624,,6590,,40104,,6124,,44927,,8432,,85031,,9485,,117850,,10189,,570757,,1737,,690815
310M100US44940,"Sumter, SC Metro Area",310M100US44940,,526,,546,,633,,571,,396,,285,,197,,0,,396,,285,,1691,,3707,,734,,1396,,1855,,5103,,1937,,4740,,1935,,4767,,2664,,9507,,3313,,15466,,3520,,90650,,503,,106662
310M100US44980,"Sunbury, PA Micro Area",310M100US44980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US45060,"Syracuse, NY Metro Area",310M100US45060,,1793,,4857,,318,,593,,520,,1768,,581,,1176,,794,,2944,,2549,,14378,,1612,,7456,,3441,,21834,,4902,,40579,,3109,,25485,,5304,,66064,,6592,,91435,,6322,,557168,,1120,,653460
310M100US45180,"Talladega-Sylacauga, AL Micro Area",310M100US45180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US45220,"Tallahassee, FL Metro Area",310M100US45220,,703,,1802,,1807,,4208,,615,,972,,615,,666,,899,,1638,,2930,,17433,,2800,,12675,,4123,,30108,,3973,,18003,,4604,,40712,,5921,,58715,,6468,,94669,,6583,,276258,,1633,,372729
310M100US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M100US45300,,3450,,22603,,974,,2906,,2696,,7774,,940,,2780,,2644,,10554,,5619,,58720,,5181,,45542,,7469,,104262,,11954,,197136,,8151,,116564,,13629,,313700,,15776,,431422,,16666,,2359728,,2718,,2813753
310M100US45460,"Terre Haute, IN Metro Area",310M100US45460,,245,,250,,621,,1458,,414,,461,,144,,202,,415,,663,,1358,,4407,,900,,2856,,1653,,7263,,3072,,10351,,1974,,7350,,3497,,17701,,3859,,27085,,4455,,143926,,2288,,171261
310M100US45500,"Texarkana, TX-Texarkana, AR Metro Area",310M100US45500,,224,,250,,512,,1050,,212,,177,,478,,610,,508,,787,,782,,1553,,1549,,4395,,1889,,5948,,1859,,5976,,2057,,9329,,2706,,15305,,2992,,23090,,3011,,111122,,626,,134462
310M100US45540,"The Villages, FL Micro Area",310M100US45540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US45640,"Thomasville-Lexington, NC Micro Area",310M100US45640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
