ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallup, NM Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US23700
3100000US23900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gettysburg, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US23900
3100000US24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glens Falls, NY Metro Area",197,163,310,614,682,1150,161,241,702,1391,2003,3894,478,1175,1966,5069,2728,9103,1167,2669,2464,11772,3314,18846,3220,109116,509,128125,3100000US24020
3100000US24140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldsboro, NC Metro Area",595,1005,422,649,197,478,305,459,375,937,1056,3282,1430,2889,1805,6171,1695,4811,1900,6042,2539,10853,2572,18610,2696,92109,578,111724,3100000US24140
3100000US24220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Forks, ND-MN Metro Area",394,576,1264,4003,215,282,875,1489,902,1771,1060,3027,633,1797,1243,4824,1464,3452,1591,8268,2213,11720,2769,22318,2815,72012,946,94906,3100000US24220
3100000US24260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Island, NE Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US24260
3100000US24300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Junction, CO Metro Area",299,381,684,1320,325,364,964,1211,961,1575,1496,3563,1204,3670,1969,7233,2635,9003,3583,15511,3699,24514,4192,34642,4274,97931,531,132954,3100000US24300
3100000US24340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Rapids-Wyoming, MI Metro Area",2145,4210,3012,6658,1292,4293,825,2228,1610,6521,3222,16514,2238,12450,3781,28964,4709,38785,5470,43715,6610,82500,7443,124643,7728,634387,1378,763240,3100000US24340
3100000US24420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grants Pass, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US24420
3100000US24500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Falls, MT Metro Area",237,225,883,1163,295,231,299,524,447,755,1230,2575,860,2500,1351,5075,464,600,1301,6021,1374,6621,2279,13614,2271,63991,372,77830,3100000US24500
