ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US26380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houma-Bayou Cane-Thibodaux, LA Metro Area",106,172,1028,814,463,587,170,93,497,680,1035,1510,1773,2769,2141,4279,3085,12398,3275,10817,4611,23215,5154,28988,5368,176062,704,205222,310M100US26380
310M100US26420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston-Sugar Land-Baytown, TX Metro Area",7097,49934,1913,9152,2162,7164,3193,14217,3738,21381,7983,60606,8271,83682,11694,144288,18590,332130,21925,427090,23380,759220,25939,934041,28667,4903509,5922,5887484,310M100US26420
310M100US26580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntington-Ashland, WV-KY-OH Metro Area",108,92,1023,1503,1213,1539,412,729,1308,2268,1628,4009,1149,2525,2000,6534,3696,17529,2255,8164,4251,25693,5022,35998,5142,249614,565,285704,310M100US26580
310M100US26620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntsville, AL Metro Area",984,2326,580,740,712,1471,555,768,977,2239,1458,7285,1801,5970,2433,13255,3196,16913,4319,19592,5595,36505,6086,52739,6205,358981,1180,414046,310M100US26620
310M100US26660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntsville, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US26660
310M100US26740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hutchinson, KS Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US26740
310M100US26820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho Falls, ID Metro Area",223,352,420,351,1278,1834,1098,1355,1494,3189,1267,2185,693,1529,1517,3714,2204,4660,2254,7173,2999,11833,3648,19087,4453,110867,2337,130306,310M100US26820
310M100US26860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US26860
310M100US26900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indianapolis-Carmel, IN Metro Area",1931,6774,1896,4232,971,2611,1334,3831,1601,6442,4144,21346,3905,21659,6207,43005,7365,77754,11251,142274,14116,220028,15739,273707,16005,1455365,4017,1735846,310M100US26900
310M100US26980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa City, IA Metro Area",515,1059,985,2788,1150,1736,425,832,1214,2568,1406,4321,1883,7139,2375,11460,1779,7025,2055,14627,2541,21652,3361,38468,3535,111606,545,151133,310M100US26980
310M100US27060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ithaca, NY Metro Area",1012,2459,184,259,676,1046,1303,2116,1343,3162,1437,6179,1336,5716,1968,11895,3049,9495,1818,6874,3096,16369,3373,31685,3352,66365,557,100509,310M100US27060
310M100US27100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MI Metro Area",426,635,1050,1373,406,743,208,338,461,1081,686,2045,1054,2098,1244,4143,2668,8769,2321,7599,3267,16368,3662,22965,3753,133980,851,157580,310M100US27100
310M100US27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, MS Metro Area",881,1543,1372,2593,899,1874,1072,2682,1463,4556,921,2828,2643,5697,2896,8525,5593,31499,4839,25690,8010,57189,8356,72863,8217,457310,1270,531716,310M100US27140
310M100US27180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson, TN Metro Area",119,93,1463,2248,791,1214,404,382,905,1596,648,1007,908,1129,1335,2136,1537,3551,2074,6637,2881,10188,3283,16168,3235,96349,1866,112610,310M100US27180
310M100US27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacksonville, FL Metro Area",1521,6213,718,1684,968,2733,1847,3481,2127,6214,5922,34044,3310,22991,6980,57035,6607,53992,10312,122026,12437,176018,13861,240951,14208,1087292,3158,1334456,310M100US27260
310M100US27340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacksonville, NC Metro Area",2042,5599,849,1267,1992,2895,729,1361,2076,4256,4001,14815,1818,7459,4559,22274,2468,8776,2883,10905,4033,19681,5259,47478,5549,122436,829,175513,310M100US27340
310M100US27460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jamestown-Dunkirk-Fredonia, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US27460
310M100US27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Janesville, WI Metro Area",352,346,170,186,452,694,353,567,597,1261,1076,2798,793,1524,1465,4322,2108,8475,2035,7552,2720,16027,3001,21796,3095,136638,582,158780,310M100US27500
310M100US27620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson City, MO Metro Area",737,700,1232,2192,216,394,969,1992,968,2386,1364,4148,969,3318,1949,7466,2397,8293,2228,4188,3046,12481,3004,24525,3901,122952,1960,148177,310M100US27620
310M100US27740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson City, TN Metro Area",265,333,274,264,325,515,500,740,670,1255,1280,3415,1822,3697,2201,7112,2962,12307,2150,8242,3607,20549,3874,29180,3907,167438,672,196951,310M100US27740
310M100US27780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnstown, PA Metro Area",145,188,102,119,480,849,139,123,540,972,1510,4293,767,1414,1661,5707,1392,6446,898,2339,1677,8785,2474,15583,2570,126562,386,142333,310M100US27780
310M100US27860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro, AR Metro Area",278,340,2166,4548,829,739,1284,2187,1486,2926,1017,2197,574,938,1256,3135,2011,6516,3560,12571,3894,19087,4039,29696,3664,88557,2426,118593,310M100US27860
310M100US27900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joplin, MO Metro Area",60,44,546,1088,209,249,359,424,420,673,1212,2849,1123,2000,1623,4849,2203,10650,2275,8468,3488,19118,4086,25728,4272,148080,833,173852,310M100US27900
310M100US27980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kahului-Wailuku, HI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US27980
310M100US28020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kalamazoo-Portage, MI Metro Area",738,1595,639,730,1466,3449,315,414,1497,3863,1883,10628,1510,5073,2594,15701,2876,13787,3345,24431,4299,38218,4342,58512,4295,263433,939,323540,310M100US28020
310M100US28060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kalispell, MT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US28060
310M100US28100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kankakee-Bradley, IL Metro Area",92,77,233,346,254,258,213,128,338,386,1266,3085,595,1247,1492,4332,1421,4592,2430,7518,2940,12110,3202,17174,2986,94052,653,111303,310M100US28100
310M100US28140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas City, MO-KS Metro Area",2354,9037,1734,6680,1206,3881,1240,4969,1895,8850,3814,24054,4176,28692,5711,52746,9549,133807,8036,120370,13983,254177,14743,322453,14888,1674829,3841,2006319,310M100US28140
310M100US28180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kapaa, HI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US28180
310M100US28300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keene, NH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US28300
310M100US28420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kennewick-Pasco-Richland, WA Metro Area",1212,2146,664,970,287,364,1020,1588,1069,1952,1210,4059,2084,6771,2645,10830,2778,5602,4024,23922,4828,29524,4963,43276,5098,206181,908,251603,310M100US28420
310M100US28580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Key West, FL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US28580
310M100US28660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Killeen-Temple-Fort Hood, TX Metro Area",2256,12159,1012,2014,1106,2239,2095,4292,2356,6531,3187,15991,3270,13866,4490,29857,3162,14854,5298,31732,5946,46586,7032,84988,7766,303230,1794,400377,310M100US28660
310M100US28700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kingsport-Bristol-Bristol, TN-VA Metro Area",254,266,1430,3325,1270,1614,1875,1964,2289,3578,1562,3935,1349,3735,2085,7670,3179,16799,2324,10061,3881,26860,5237,41433,5406,266404,2691,308103,310M100US28700
310M100US28740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kingston, NY Metro Area",630,564,238,404,551,553,275,0,551,553,1721,4799,1585,3881,2426,8680,2290,10443,1453,3219,2865,13662,3522,23299,3681,156718,642,180581,310M100US28740
310M100US28900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klamath Falls, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US28900
310M100US28940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knoxville, TN Metro Area",1217,2733,1400,3365,1038,2632,997,1873,1367,4505,3166,10105,1540,6299,3417,16404,5996,42264,4056,23540,8037,65804,8630,90078,8567,600682,1245,693493,310M100US28940
310M100US29020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kokomo, IN Metro Area",331,382,267,0,716,992,367,222,783,1214,1264,1950,561,926,1367,2876,1725,4873,2301,7415,2675,12288,2959,16378,4280,82991,2778,99751,310M100US29020
310M100US29100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Crosse, WI-MN Metro Area",204,175,1158,2602,360,466,407,481,516,947,1231,2802,934,1946,1612,4748,1374,5059,1862,7857,2341,12916,2800,21213,2859,110798,514,132186,310M100US29100
310M100US29140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette, IN Metro Area",1164,3573,761,1567,736,1407,650,739,956,2146,2084,8560,1325,5509,2521,14069,3070,17684,2271,9815,3551,27499,4076,45281,5066,150425,3075,199279,310M100US29140
310M100US29180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette, LA Metro Area",195,165,712,957,1570,2842,886,1586,1813,4428,1420,3283,1903,3854,2267,7137,2639,10224,3476,15351,4213,25575,5214,38097,5212,232171,916,270433,310M100US29180
310M100US29300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LaGrange, GA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US29300
310M100US29340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake Charles, LA Metro Area",353,474,318,412,754,1379,543,793,988,2172,591,1103,1420,3633,1639,4736,2582,10460,2628,10412,4086,20872,4687,28192,4720,167716,1767,196382,310M100US29340
310M100US29380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake City, FL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US29380
310M100US29420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake Havasu City-Kingman, AZ Metro Area",91,88,858,1115,612,844,1201,1045,1342,1889,1415,5138,2651,6295,3033,11433,2822,10439,3745,11967,4433,22406,5157,36843,5256,161081,807,198012,310M100US29420
310M100US29460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakeland-Winter Haven, FL Metro Area",1678,2902,850,1802,1074,1436,1526,2339,1844,3775,3543,15676,2896,10731,5025,26407,6726,41929,4286,21362,7422,63291,9057,95275,9245,496608,1457,594785,310M100US29460
310M100US29540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster, PA Metro Area",1011,2708,488,557,384,717,58,35,389,752,2067,11298,1360,3849,2633,15147,4040,26408,1786,7674,4608,34082,5300,50538,5402,460527,1144,513773,310M100US29540
310M100US29580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster, SC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US29580
310M100US29620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lansing-East Lansing, MI Metro Area",1392,5481,555,1138,1276,2931,413,832,1227,3763,2080,14824,1422,7004,2612,21828,3512,24270,3841,33600,5430,57870,6020,84599,6015,369247,826,459327,310M100US29620
310M100US29700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laredo, TX Metro Area",1749,3240,116,68,294,0,401,444,401,444,1213,1508,1777,3677,1721,5185,495,551,7165,40111,7301,40662,7595,46359,7868,197554,1119,247153,310M100US29700
310M100US29740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Las Cruces, NM Metro Area",863,1500,409,350,284,377,892,2232,977,2609,942,2216,2641,8594,2724,10810,3401,8736,3647,17646,4864,26382,5679,40151,5738,166551,794,208202,310M100US29740
310M100US29820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Las Vegas-Paradise, NV Metro Area",3098,13670,989,2642,867,2214,1586,4371,1804,6585,4727,34131,6275,35278,7669,69409,12981,177205,13932,203458,19210,380663,20043,459299,20232,1453099,2726,1926068,310M100US29820
310M100US29860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laurel, MS Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US29860
310M100US29940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence, KS Metro Area",330,735,1191,1436,575,685,317,500,632,1185,1560,7569,1214,4089,2033,11658,1080,2062,2874,14459,2976,16521,3419,30800,3421,78545,407,110080,310M100US29940
310M100US30020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawton, OK Metro Area",1334,2067,1093,2309,443,966,1168,1376,1393,2342,1735,6569,1326,5248,2279,11817,813,1624,3083,15553,3017,17177,3788,33645,3951,88883,305,124595,310M100US30020
310M100US30100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lebanon, NH-VT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US30100
310M100US30140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lebanon, PA Metro Area",490,691,366,374,532,543,82,68,551,611,1050,2282,360,702,1081,2984,1628,4864,1584,4471,2276,9335,2321,13304,2332,117982,655,131977,310M100US30140
310M100US30300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewiston, ID-WA Metro Area",273,0,360,646,163,95,323,235,356,330,626,1043,495,825,751,1868,456,1159,1428,3485,1496,4644,1584,7488,1914,52784,991,60272,310M100US30300
310M100US30340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewiston-Auburn, ME Metro Area",156,140,514,1144,677,700,244,287,736,987,986,2468,618,1074,1257,3542,1401,2579,1971,7169,2500,9748,2700,15421,2710,90333,608,105894,310M100US30340
310M100US30460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lexington-Fayette, KY Metro Area",1414,3279,1978,5857,1993,3749,1754,3579,2612,7328,2387,7937,3167,10075,3714,18012,4334,23574,5029,52686,6683,76260,7465,107457,7503,358592,825,469328,310M100US30460
310M100US30500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lexington Park, MD Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US30500
310M100US30620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lima, OH Metro Area",137,79,481,569,484,509,296,422,508,931,894,1687,349,648,975,2335,2285,6400,1962,6440,2766,12840,3006,16675,2997,88097,478,104851,310M100US30620
310M100US30700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln, NE Metro Area",657,1496,1056,4111,1151,2158,971,3033,1502,5191,2090,5986,1547,6189,2490,12175,1429,4391,5065,39686,5189,44077,6077,65554,6335,230874,2042,297924,310M100US30700
310M100US30740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincolnton, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US30740
310M100US30780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Little Rock-North Little Rock-Conway, AR Metro Area",1216,3385,2323,6898,906,1496,793,1503,1207,2999,2641,10434,3058,15271,4455,25705,5359,38527,6035,54679,8145,93206,9288,128808,9948,559930,3560,692123,310M100US30780
310M100US30860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan, UT-ID Metro Area",531,744,328,333,343,371,1304,1467,1302,1838,1658,4218,888,2010,1988,6228,1798,6020,2228,8904,2724,14924,3418,23323,3639,99288,1757,123355,310M100US30860
310M100US30980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longview, TX Metro Area",529,684,1602,3262,1313,1774,803,1562,1602,3336,1269,3055,1136,4269,1680,7324,2661,10987,3022,10716,3741,21703,4698,35625,4525,175616,876,211925,310M100US30980
310M100US31020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longview, WA Metro Area",114,95,112,64,386,426,256,155,461,581,1419,2879,1034,2134,1805,5013,2801,7469,2234,6905,3469,14374,3785,20032,3850,80684,604,100811,310M100US31020
310M100US31100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",7734,84768,1519,4418,2328,5390,1677,5293,2737,10683,10362,110124,7736,125879,12422,236003,22179,568285,30059,968486,37722,1536771,41074,1787875,42757,10830717,5660,12703360,310M100US31100
310M100US31140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisville/Jefferson County, KY-IN Metro Area",2075,4696,975,3958,1065,2409,815,2251,1425,4660,2626,14657,2123,10762,3400,25419,6704,61265,7861,67404,10939,128669,11732,162706,12137,1106115,3329,1273517,310M100US31140
310M100US31180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lubbock, TX Metro Area",594,889,1480,3562,1305,1636,1543,2989,2019,4625,2010,8480,2344,8799,3353,17279,1598,4844,6456,38133,6830,42977,6933,68443,6982,215657,1882,284989,310M100US31180
310M100US31260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lufkin, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US31260
310M100US31300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lumberton, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US31300
310M100US31340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynchburg, VA Metro Area",84,49,1225,1559,644,963,263,227,725,1190,1870,6191,977,2710,2010,8901,2126,8337,2297,8381,2974,16718,3602,28368,3868,219499,3412,247916,310M100US31340
310M100US31420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon, GA Metro Area",588,618,1322,1626,610,1215,849,1463,1215,2678,1574,3671,789,1760,1841,5431,2938,8388,2767,8925,3891,17313,4921,27048,5046,197326,4419,224992,310M100US31420
310M100US31460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madera-Chowchilla, CA Metro Area",698,606,231,235,99,56,294,0,99,56,1263,3016,1769,4695,2250,7711,1939,3503,3664,9856,4471,13359,4964,21361,5161,127135,751,149102,310M100US31460
310M100US31540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison, WI Metro Area",1105,3489,723,1574,1305,3818,1173,3085,1657,6903,2305,11789,2644,12714,3829,24503,4357,29267,4587,43903,6205,73170,6647,106150,6894,453073,1061,562712,310M100US31540
310M100US31700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester-Nashua, NH Metro Area",960,2064,214,239,1085,2801,727,1102,1318,3903,2756,10192,803,2401,2690,12593,3356,12581,4609,26855,5747,39436,6039,56171,6297,338362,1044,396597,310M100US31700
310M100US31740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manhattan, KS Metro Area",842,1352,504,1044,751,1093,437,780,907,1873,1788,5385,2017,5602,2909,10987,2004,6632,1728,6003,2756,12635,3642,26539,4051,98036,1768,125927,310M100US31740
310M100US31820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manitowoc, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US31820
310M100US31860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mankato-North Mankato, MN Metro Area",96,53,378,736,247,278,779,1009,831,1287,1059,2606,415,810,1058,3416,824,2259,1743,7294,1875,9553,2434,14992,2480,80762,305,95807,310M100US31860
310M100US31900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mansfield, OH Metro Area",113,67,133,159,487,1012,55,32,497,1044,1176,2298,723,1725,1332,4023,1268,3727,2820,9374,3077,13101,3445,18327,3298,104441,452,122835,310M100US31900
310M100US31940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marinette, WI-MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US31940
310M100US31980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion, IN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US31980
310M100US32020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32020
310M100US32060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion-Herrin, IL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32060
310M100US32100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marquette, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32100
310M100US32220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32220
310M100US32270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshfield-Wisconsin Rapids, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32270
310M100US32300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martinsville, VA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32300
310M100US32420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayag?ez, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32420
310M100US32580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McAllen-Edinburg-Mission, TX Metro Area",1483,4370,731,1398,1149,1331,1848,2711,2172,4042,1618,6217,2232,8826,2458,15043,7000,30416,8867,50995,11209,81411,12151,101894,12291,659121,1847,765385,310M100US32580
310M100US32740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meadville, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32740
310M100US32780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medford, OR Metro Area",701,798,525,619,1687,2104,530,745,1751,2849,2214,5621,929,3115,2318,8736,3687,15143,2670,10583,4254,25726,5055,37930,4982,162732,647,201460,310M100US32780
310M100US32820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Memphis, TN-MS-AR Metro Area",1376,3497,1119,3787,1686,2963,2080,5333,2852,8296,3065,12247,2331,11606,3721,23853,7665,57626,8801,112826,10615,170452,10973,206388,10321,1089773,3782,1299658,310M100US32820
310M100US32900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merced, CA Metro Area",383,525,665,765,1002,635,294,0,1002,635,2083,4883,1773,4122,2353,9005,4404,17197,4227,12531,5744,29728,6174,40133,6270,212716,993,253374,310M100US32900
310M100US32940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meridian, MS Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US32940
310M100US33100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",7816,73146,1669,5434,1534,3287,1035,3435,1815,6722,5965,64846,7239,57799,9528,122645,18309,411609,11962,220510,20006,632119,20484,766920,21504,4681459,3443,5521525,310M100US33100
310M100US33140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan City-La Porte, IN Metro Area",181,185,324,298,250,333,141,110,261,443,1309,3260,1100,2473,1802,5733,1556,3295,2633,7307,3264,10602,3927,17076,3987,93283,401,110544,310M100US33140
310M100US33220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Midland, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US33220
310M100US33260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Midland, TX Metro Area",335,358,1859,2753,301,321,393,434,523,755,1014,1527,1203,2929,1657,4456,1051,1084,3847,16047,4027,17131,4287,25095,4380,109269,1095,134722,310M100US33260
310M100US33340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milwaukee-Waukesha-West Allis, WI Metro Area",1208,3750,1232,2124,1417,3487,941,2112,1734,5599,2695,14669,2757,16100,3995,30769,5998,59248,9859,142003,10868,201251,11885,239743,12180,1293014,2028,1536507,310M100US33340
310M100US33460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3610,20295,2428,12968,1943,6175,2142,8282,2821,14457,3687,28379,4306,34721,5576,63100,12124,218956,9354,178686,14885,397642,16491,488167,16045,2736678,2747,3245140,310M100US33460
310M100US33500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minot, ND Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US33500
310M100US33540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula, MT Metro Area",593,652,1006,2072,1031,925,1561,2315,1791,3240,1036,1145,1238,2483,1620,3628,1672,4166,2516,9746,2775,13912,3031,22852,3192,85309,387,108813,310M100US33540
310M100US33660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile, AL Metro Area",1051,1444,903,1132,735,1322,1285,2124,1461,3446,1388,4094,1312,3867,2095,7961,4706,19782,4090,24614,6113,44396,6567,56935,6529,349488,1406,407867,310M100US33660
310M100US33700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Modesto, CA Metro Area",2039,2680,273,301,691,831,200,157,719,988,4751,16088,2845,9264,5883,25352,5729,38899,5328,38378,7543,77277,8649,103918,9150,401066,1307,507664,310M100US33700
310M100US33740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe, LA Metro Area",399,388,526,830,430,492,938,1635,1057,2127,1682,1933,1034,1902,2377,3835,2790,11419,1903,6520,3537,17939,4500,24731,4535,149937,584,175056,310M100US33740
310M100US33780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe, MI Metro Area",772,506,211,231,462,339,174,160,487,499,1089,2256,817,1522,1284,3778,1958,7818,1299,3167,2503,10985,2682,15493,2745,133955,582,149954,310M100US33780
310M100US33860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery, AL Metro Area",1096,2114,784,1620,818,1886,666,1177,1115,3063,2084,7879,2149,7868,2872,15747,2648,12549,4626,36548,4743,49097,5184,69527,4946,301078,1946,372719,310M100US33860
310M100US33980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morehead City, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US33980
