ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US12540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bakersfield-Delano, CA Metro Area",1882,3521,377,471,1028,1389,626,1099,1137,2488,4181,22466,3732,19862,5882,42328,7097,54384,8058,72658,9928,127042,11649,172329,11672,653613,1755,829463,310M100US12540
310M100US12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baltimore-Towson, MD Metro Area",3100,16713,382,774,1367,3678,565,892,1485,4570,5978,48264,4049,26694,7266,74958,11424,148467,9615,101434,14577,249901,15535,330203,15332,2334880,2523,2681796,310M100US12580
310M100US12620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bangor, ME Metro Area",358,506,1564,2556,332,426,507,601,708,1027,966,1908,606,1179,1068,3087,2025,9688,1687,4836,2450,14524,2888,21194,2892,130724,523,152424,310M100US12620
310M100US12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area",924,1495,219,222,285,0,902,879,902,879,1509,4277,1107,1934,1807,6211,2151,8738,1260,2453,2525,11191,3198,18503,3476,194334,640,214332,310M100US12700
310M100US12940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baton Rouge, LA Metro Area",1005,2656,556,884,907,2063,893,1851,1304,3914,3176,11424,2054,10781,3653,22205,6960,44397,6070,38528,9897,82925,11159,109928,11180,680035,1688,792619,310M100US12940
310M100US12980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Battle Creek, MI Metro Area",58,47,449,569,409,573,342,330,539,903,753,2406,1236,1870,1461,4276,1193,5112,1558,5768,2029,10880,2662,16628,2763,117919,610,134594,310M100US12980
310M100US13020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bay City, MI Metro Area",305,328,736,1195,282,242,440,510,549,752,801,1663,307,565,839,2228,1609,5327,1460,4122,2015,9449,2263,13624,2382,92317,533,106269,310M100US13020
310M100US13140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaumont-Port Arthur, TX Metro Area",419,720,1571,2735,1485,1284,343,606,1537,1890,2182,6595,2850,9217,3718,15812,4487,20192,3847,22368,5932,42560,7558,62997,7542,321206,1028,384923,310M100US13140
310M100US13180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaver Dam, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US13180
310M100US13220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beckley, WV Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US13220
310M100US13380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellingham, WA Metro Area",438,515,650,843,229,352,410,866,476,1218,1676,7614,1286,3216,2168,10830,3104,10894,2367,13353,3681,24247,4264,37138,4283,161043,850,198696,310M100US13380
310M100US13460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bend, OR Metro Area",150,84,967,1509,1129,1542,598,752,1334,2294,2778,4379,1744,4972,3185,9351,2151,7005,2891,11029,3489,18034,4514,31188,4455,125319,623,156591,310M100US13460
310M100US13740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billings, MT Metro Area",444,428,1751,4151,601,651,643,1188,879,1839,1098,1771,1023,2583,1667,4354,1339,3246,2196,11924,2514,15170,3810,25514,3839,129265,1593,155207,310M100US13740
310M100US13780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Binghamton, NY Metro Area",388,644,1015,1305,634,746,458,627,690,1373,1495,4285,1028,2855,1841,7140,3479,14972,2114,6506,3832,21478,4231,31296,4323,216718,529,248658,310M100US13780
