ucgid,B07201_014EA,B07201_014MA,B07201_013MA,B07201_013EA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008MA,B07201_008EA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US44940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter, SC Metro Area",630,604,252,266,436,380,307,240,528,620,954,1563,487,799,1093,2362,1340,3024,913,2563,1562,5587,2309,8835,2486,91195,463,100634,3100000US44940
3100000US44980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunbury, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US44980
3100000US45060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Syracuse, NY Metro Area",754,2564,867,1488,1050,2237,576,1311,1221,3548,1863,8879,1801,5916,2618,14795,4337,39718,3929,26489,5585,66207,5753,86038,6229,532343,1370,620945,3100000US45060
3100000US45180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega-Sylacauga, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US45180
3100000US45220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallahassee, FL Metro Area",577,985,347,593,610,536,1018,1529,1175,2065,1877,6124,1936,7131,2759,13255,3032,10494,4240,33470,5115,43964,5527,59877,5655,251935,1862,312797,3100000US45220
3100000US45300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3892,19393,2282,5781,2299,7536,1542,3964,3052,11500,9864,69930,7435,59152,12369,129082,11356,154340,12212,174077,16181,328417,19103,474780,19624,2072079,2888,2566252,3100000US45300
3100000US45460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Terre Haute, IN Metro Area",382,410,498,920,199,193,128,130,244,323,897,2000,789,1182,1287,3182,1794,7917,2588,9521,2804,17438,3022,21863,3433,135070,2570,157343,3100000US45460
3100000US45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texarkana, TX-Texarkana, AR Metro Area",190,184,1109,1713,398,304,1696,2483,1646,2787,833,1399,968,2187,1319,3586,2740,6333,3823,14308,4708,20641,4783,28727,4678,96102,457,125013,3100000US45500
3100000US45640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomasville-Lexington, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US45640
3100000US45780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Toledo, OH Metro Area",449,874,886,1729,725,1339,533,1412,842,2751,1860,8011,1557,5465,2629,13476,4363,30365,5716,46332,7522,76697,7893,94653,7991,533161,1298,628688,3100000US45780
