NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Burlington, NC",1668.0,421.0,658.0,69.0,727.0,4941.0,4863.0,9804.0,6292.0,3752.0,10044.0,20996.0,152231.0,174895.0
"Burlington-South Burlington, VT",894.0,1424.0,1852.0,176.0,2028.0,6459.0,4851.0,11310.0,8164.0,8982.0,17146.0,31908.0,193421.0,226223.0
"California-Lexington Park, MD",0.0,38.0,830.0,1.0,831.0,4617.0,2249.0,6866.0,3063.0,1481.0,4544.0,12279.0,101136.0,113415.0
"Canton-Massillon, OH",602.0,279.0,1405.0,770.0,2175.0,5125.0,3206.0,8331.0,15959.0,6190.0,22149.0,32934.0,361960.0,395496.0
"Cape Coral-Fort Myers, FL",10214.0,876.0,1594.0,981.0,2575.0,37617.0,13705.0,51322.0,22723.0,15575.0,38298.0,93071.0,710269.0,813554.0
"Cape Girardeau, MO-IL",139.0,726.0,753.0,333.0,1086.0,1632.0,2261.0,3893.0,2193.0,3123.0,5316.0,11021.0,83773.0,94933.0
"Carbondale-Marion, IL",260.0,3580.0,2541.0,502.0,3043.0,5408.0,1907.0,7315.0,4952.0,4830.0,9782.0,23720.0,107005.0,130985.0
"Carson City, NV",0.0,197.0,1037.0,300.0,1337.0,1729.0,1434.0,3163.0,0.0,2135.0,2135.0,6832.0,51022.0,57854.0
"Casper, WY",90.0,278.0,225.0,180.0,405.0,2040.0,448.0,2488.0,2924.0,5487.0,8411.0,11582.0,67199.0,78871.0
"Cedar Rapids, IA",657.0,1088.0,563.0,742.0,1305.0,5140.0,5844.0,10984.0,6025.0,10848.0,16873.0,30250.0,242450.0,273357.0
"Centralia, WA Micro Area",,,,,,,,,,,,,,
"Chambersburg-Waynesboro, PA",149.0,866.0,34.0,0.0,34.0,4478.0,1891.0,6369.0,6713.0,2627.0,9340.0,16609.0,138564.0,155322.0
"Champaign-Urbana, IL",3690.0,962.0,796.0,269.0,1065.0,8516.0,8561.0,17077.0,6053.0,17645.0,23698.0,42802.0,174319.0,220811.0
"Charleston, WV",669.0,244.0,368.0,578.0,946.0,2970.0,1860.0,4830.0,8584.0,4159.0,12743.0,18763.0,228091.0,247523.0
"Charleston-North Charleston, SC",3941.0,3115.0,2834.0,1304.0,4138.0,31475.0,16931.0,48406.0,40796.0,25673.0,66469.0,122128.0,696843.0,822912.0
