NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E,Year
"Wheeling, WV-OH",101.0,359.0,209.0,317.0,526.0,2107.0,455.0,2562.0,9045.0,2888.0,11933.0,15380.0,125299.0,140780.0,2005
"Whitewater, WI Micro Area",101.0,359.0,209.0,317.0,526.0,2107.0,455.0,2562.0,9045.0,2888.0,11933.0,15380.0,125299.0,140780.0,2005
"Wichita, KS",2876.0,5569.0,2581.0,2468.0,5049.0,4791.0,7737.0,12528.0,24786.0,64877.0,89663.0,112809.0,450320.0,566005.0,2005
"Wichita Falls, TX",688.0,2234.0,673.0,339.0,1012.0,2128.0,3572.0,5700.0,3469.0,10355.0,13824.0,22770.0,111889.0,135347.0,2005
"Williamsport, PA",152.0,150.0,694.0,434.0,1128.0,1154.0,844.0,1998.0,5639.0,4147.0,9786.0,13062.0,98378.0,111592.0,2005
"Willimantic, CT Micro Area",152.0,150.0,694.0,434.0,1128.0,1154.0,844.0,1998.0,5639.0,4147.0,9786.0,13062.0,98378.0,111592.0,2005
"Wilmington, NC",945.0,1884.0,2374.0,1677.0,4051.0,8805.0,9351.0,18156.0,19314.0,19026.0,38340.0,62431.0,241621.0,304997.0,2005
"Wilson, NC Micro Area",945.0,1884.0,2374.0,1677.0,4051.0,8805.0,9351.0,18156.0,19314.0,19026.0,38340.0,62431.0,241621.0,304997.0,2005
"Winchester, VA-WV",203.0,929.0,0.0,0.0,0.0,3966.0,1779.0,5745.0,8683.0,1003.0,9686.0,16360.0,96909.0,113472.0,2005
"Winston-Salem, NC",2286.0,463.0,1811.0,1410.0,3221.0,7030.0,4837.0,11867.0,18965.0,28191.0,47156.0,62707.0,366712.0,431705.0,2005
"Wisconsin Rapids-Marshfield, WI Micro Area",2286.0,463.0,1811.0,1410.0,3221.0,7030.0,4837.0,11867.0,18965.0,28191.0,47156.0,62707.0,366712.0,431705.0,2005
"Wooster, OH Micro Area",2286.0,463.0,1811.0,1410.0,3221.0,7030.0,4837.0,11867.0,18965.0,28191.0,47156.0,62707.0,366712.0,431705.0,2005
"Worcester, MA",3706.0,532.0,1351.0,325.0,1676.0,15241.0,8785.0,24026.0,42099.0,18898.0,60997.0,87231.0,660316.0,751253.0,2005
"Yakima, WA",842.0,770.0,1280.0,115.0,1395.0,2858.0,2521.0,5379.0,15978.0,14606.0,30584.0,38128.0,184696.0,223666.0,2005
"Yauco, PR",842.0,770.0,1280.0,115.0,1395.0,2858.0,2521.0,5379.0,15978.0,14606.0,30584.0,38128.0,184696.0,223666.0,2005
"York-Hanover, PA",1800.0,188.0,2677.0,90.0,2767.0,11057.0,4883.0,15940.0,17772.0,13412.0,31184.0,50079.0,343951.0,395830.0,2005
"Youngstown-Warren-Boardman, OH-PA",461.0,803.0,2541.0,415.0,2956.0,7057.0,5539.0,12596.0,29166.0,16788.0,45954.0,62309.0,500230.0,563000.0,2005
"Yuba City, CA",1269.0,69.0,227.0,524.0,751.0,5040.0,3308.0,8348.0,14234.0,5820.0,20054.0,29222.0,120698.0,151189.0,2005
"Yuma, AZ",2008.0,933.0,225.0,16.0,241.0,4552.0,5544.0,10096.0,3801.0,18194.0,21995.0,33265.0,137358.0,172631.0,2005
"Zanesville, OH Micro Area",2008.0,933.0,225.0,16.0,241.0,4552.0,5544.0,10096.0,3801.0,18194.0,21995.0,33265.0,137358.0,172631.0,2005
"Aberdeen, WA Micro Area",2008.0,933.0,225.0,16.0,241.0,4552.0,5544.0,10096.0,3801.0,18194.0,21995.0,33265.0,137358.0,172631.0,2005
"Abilene, TX",753.0,1442.0,340.0,674.0,1014.0,3652.0,3603.0,7255.0,3679.0,16342.0,20021.0,29732.0,112857.0,143342.0,2005
"Adrian, MI Micro Area",753.0,1442.0,340.0,674.0,1014.0,3652.0,3603.0,7255.0,3679.0,16342.0,20021.0,29732.0,112857.0,143342.0,2005
"Aguadilla-Isabela-San Sebasti?n, PR",753.0,1442.0,340.0,674.0,1014.0,3652.0,3603.0,7255.0,3679.0,16342.0,20021.0,29732.0,112857.0,143342.0,2005
"Akron, OH",1572.0,601.0,1353.0,931.0,2284.0,14853.0,5740.0,20593.0,33251.0,24709.0,57960.0,81438.0,592773.0,675783.0,2005
"Albany, GA",670.0,2136.0,872.0,244.0,1116.0,1552.0,3708.0,5260.0,8280.0,11348.0,19628.0,28140.0,126374.0,155184.0,2005
"Albany-Lebanon, OR Micro Area",670.0,2136.0,872.0,244.0,1116.0,1552.0,3708.0,5260.0,8280.0,11348.0,19628.0,28140.0,126374.0,155184.0,2005
"Albany-Schenectady-Troy, NY",4051.0,1210.0,1056.0,992.0,2048.0,14353.0,16689.0,31042.0,51722.0,29694.0,81416.0,115716.0,686916.0,806683.0,2005
"Albertville, AL Micro Area",4051.0,1210.0,1056.0,992.0,2048.0,14353.0,16689.0,31042.0,51722.0,29694.0,81416.0,115716.0,686916.0,806683.0,2005
"Albuquerque, NM",7659.0,2564.0,2732.0,2170.0,4902.0,13358.0,15005.0,28363.0,25928.0,88425.0,114353.0,150182.0,617142.0,774983.0,2005
"Alexandria, LA",348.0,933.0,646.0,438.0,1084.0,1638.0,3077.0,4715.0,8452.0,8702.0,17154.0,23886.0,116232.0,140466.0,2005
"Allegan, MI Micro Area",348.0,933.0,646.0,438.0,1084.0,1638.0,3077.0,4715.0,8452.0,8702.0,17154.0,23886.0,116232.0,140466.0,2005
"Allentown-Bethlehem-Easton, PA-NJ",3667.0,428.0,1810.0,836.0,2646.0,18527.0,9674.0,28201.0,34779.0,28388.0,63167.0,94442.0,660106.0,758215.0,2005
"Altoona, PA",64.0,483.0,104.0,102.0,206.0,1953.0,466.0,2419.0,4485.0,4965.0,9450.0,12558.0,108636.0,121258.0,2005
"Amarillo, TX",1534.0,1114.0,871.0,2678.0,3549.0,2528.0,4931.0,7459.0,4458.0,25109.0,29567.0,41689.0,180341.0,223564.0,2005
"Ames, IA",1004.0,1418.0,263.0,752.0,1015.0,3235.0,2137.0,5372.0,1131.0,11459.0,12590.0,20395.0,47974.0,69373.0,2005
"Anchorage, AK",1646.0,3984.0,1144.0,3477.0,4621.0,7950.0,6796.0,14746.0,5735.0,37439.0,43174.0,66525.0,268359.0,336530.0,2005
"Anderson, IN",254.0,193.0,1162.0,142.0,1304.0,1862.0,1964.0,3826.0,4903.0,6756.0,11659.0,16982.0,106738.0,123974.0,2005
"Anderson, SC",228.0,843.0,281.0,1047.0,1328.0,5773.0,1428.0,7201.0,13264.0,4256.0,17520.0,26892.0,142519.0,169639.0,2005
"Ann Arbor, MI",4636.0,209.0,644.0,633.0,1277.0,12806.0,10616.0,23422.0,17077.0,20889.0,37966.0,62874.0,247649.0,315159.0,2005
"Anniston-Oxford, AL",218.0,550.0,1127.0,549.0,1676.0,1713.0,549.0,2262.0,5942.0,4903.0,10845.0,15333.0,92513.0,108064.0,2005
"Appleton, WI",328.0,1715.0,952.0,441.0,1393.0,3665.0,5229.0,8894.0,9102.0,8295.0,17397.0,29399.0,178654.0,208381.0,2005
"Asheville, NC",2309.0,1647.0,1416.0,1442.0,2858.0,6477.0,6824.0,13301.0,24659.0,13876.0,38535.0,56341.0,317462.0,376112.0,2005
"Ashtabula, OH Micro Area",2309.0,1647.0,1416.0,1442.0,2858.0,6477.0,6824.0,13301.0,24659.0,13876.0,38535.0,56341.0,317462.0,376112.0,2005
"Athens, TX Micro Area",2309.0,1647.0,1416.0,1442.0,2858.0,6477.0,6824.0,13301.0,24659.0,13876.0,38535.0,56341.0,317462.0,376112.0,2005
"Athens-Clarke County, GA",927.0,1859.0,89.0,861.0,950.0,5603.0,3576.0,9179.0,5844.0,19425.0,25269.0,37257.0,126270.0,164454.0,2005
"Atlanta-Sandy Springs-Marietta, GA",33181.0,15792.0,7650.0,8921.0,16571.0,78404.0,129268.0,207672.0,522802.0,137017.0,659819.0,899854.0,3817321.0,4750356.0,2005
"Atlantic City, NJ",1316.0,0.0,137.0,256.0,393.0,6445.0,3125.0,9570.0,20588.0,3126.0,23714.0,33677.0,226583.0,261576.0,2005
"Auburn, NY Micro Area",1316.0,0.0,137.0,256.0,393.0,6445.0,3125.0,9570.0,20588.0,3126.0,23714.0,33677.0,226583.0,261576.0,2005
"Auburn-Opelika, AL",1444.0,399.0,868.0,1271.0,2139.0,5732.0,5783.0,11515.0,3873.0,12693.0,16566.0,30619.0,85134.0,117197.0,2005
"Augusta-Richmond County, GA-SC",2587.0,2412.0,602.0,668.0,1270.0,8584.0,5162.0,13746.0,29789.0,29117.0,58906.0,76334.0,421783.0,500704.0,2005
"Augusta-Waterville, ME Micro Area",2587.0,2412.0,602.0,668.0,1270.0,8584.0,5162.0,13746.0,29789.0,29117.0,58906.0,76334.0,421783.0,500704.0,2005
"Austin-Round Rock, TX",10951.0,5051.0,2110.0,2682.0,4792.0,26161.0,46076.0,72237.0,65630.0,165914.0,231544.0,313624.0,1057818.0,1382393.0,2005
"Bakersfield, CA",7491.0,1067.0,1477.0,1356.0,2833.0,17892.0,19252.0,37144.0,39368.0,56143.0,95511.0,136555.0,566649.0,710695.0,2005
"Baltimore-Towson, MD",15739.0,938.0,2890.0,3962.0,6852.0,45287.0,34653.0,79940.0,147816.0,112872.0,260688.0,348418.0,2184037.0,2548194.0,2005
"Bangor, ME",310.0,1919.0,378.0,82.0,460.0,1452.0,1786.0,3238.0,9398.0,4151.0,13549.0,19166.0,119561.0,139037.0,2005
"Barnstable Town, MA",1466.0,499.0,535.0,0.0,535.0,4927.0,2020.0,6947.0,11858.0,4099.0,15957.0,23938.0,193247.0,218651.0,2005
"Baton Rouge, LA",363.0,2116.0,2232.0,1976.0,4208.0,9792.0,17233.0,27025.0,39404.0,51897.0,91301.0,124650.0,573059.0,698072.0,2005
"Battle Creek, MI",215.0,115.0,568.0,355.0,923.0,1858.0,865.0,2723.0,2894.0,9753.0,12647.0,16408.0,116551.0,133174.0,2005
"Bay City, MI",156.0,1475.0,473.0,608.0,1081.0,992.0,909.0,1901.0,2681.0,6025.0,8706.0,13163.0,93025.0,106344.0,2005
"Beaumont-Port Arthur, TX",999.0,854.0,340.0,509.0,849.0,5989.0,8911.0,14900.0,23515.0,23332.0,46847.0,63450.0,295663.0,360112.0,2005
"Beaver Dam, WI Micro Area",999.0,854.0,340.0,509.0,849.0,5989.0,8911.0,14900.0,23515.0,23332.0,46847.0,63450.0,295663.0,360112.0,2005
"Beckley, WV Micro Area",999.0,854.0,340.0,509.0,849.0,5989.0,8911.0,14900.0,23515.0,23332.0,46847.0,63450.0,295663.0,360112.0,2005
"Bellingham, WA",1017.0,508.0,709.0,267.0,976.0,5663.0,3528.0,9191.0,9304.0,12238.0,21542.0,32217.0,143740.0,176974.0,2005
"Bend, OR",570.0,663.0,2057.0,1695.0,3752.0,3568.0,3235.0,6803.0,6887.0,9291.0,16178.0,27396.0,110658.0,138624.0,2005
"Billings, MT",320.0,2446.0,212.0,2016.0,2228.0,1464.0,2289.0,3753.0,6247.0,13620.0,19867.0,28294.0,113391.0,142005.0,2005
"Binghamton, NY",659.0,2101.0,266.0,178.0,444.0,4303.0,3562.0,7865.0,12200.0,8127.0,20327.0,30737.0,204177.0,235573.0,2005
"Birmingham-Hoover, AL",2002.0,792.0,3164.0,1906.0,5070.0,13636.0,13901.0,27537.0,70736.0,69052.0,139788.0,173187.0,881365.0,1056554.0,2005
